============================================================
  WATER NETWORK DEMAND SETUP: 2026-07-08 12:44:37.854844
============================================================
Config: avg_demand=0.003, dist=lognormal, mode=random, preserve_patterns=True

JUNCTION_ID          | BASE_DEMAND  | PATTERN_NAME   
------------------------------------------------------------
[MODE: PRESERVE DEMAND PATTERNS]

Junction_2359        | 0.0000       | 1              
Junction_2360        | 0.0000       | Utenze_CSA     
Junction_2361        | 0.0000       | 1              
Junction_2362        | 0.0000       | PASS_THROUGH   
Junction_2363        | 0.0000       | PASS_THROUGH   
Junction_2364        | 0.0000       | Utenze_CSA     
Junction_2365        | 0.0000       | 6              
Junction_2366        | 0.0000       | PASS_THROUGH   
Junction_2367        | 0.0000       | PASS_THROUGH   
Junction_2368        | 0.0000       | PASS_THROUGH   
Junction_2369        | 0.0000       | PASS_THROUGH   
Junction_2370        | 0.0000       | PASS_THROUGH   
Junction_2371        | 0.0000       | PASS_THROUGH   
Junction_2372        | 0.0000       | PASS_THROUGH   
Junction_2373        | 0.0000       | 7              
Junction_2374        | 0.0000       | PASS_THROUGH   
Junction_2375        | 0.0000       | PASS_THROUGH   
Junction_2376        | 0.0000       | PASS_THROUGH   
Junction_2377        | 0.0000       | 1              
Junction_2378        | 0.0000       | PASS_THROUGH   
Junction_2379        | 0.0000       | PASS_THROUGH   
Junction_2380        | 0.0000       | PASS_THROUGH   
Junction_2381        | 0.0000       | PASS_THROUGH   
Junction_2382        | 0.0000       | Utenze_CSA     
Junction_2383        | 0.0000       | 7              
Junction_2384        | 0.0000       | PASS_THROUGH   
Junction_2385        | 0.0000       | PASS_THROUGH   
Junction_2635        | 0.0000       | PASS_THROUGH   
Junction_2636        | 0.0000       | PASS_THROUGH   
Junction_2637        | 0.0000       | PASS_THROUGH   
Junction_2638        | 0.0000       | Utenze_CSA     
Junction_2690        | 0.0000       | PASS_THROUGH   
Junction_2817        | 0.0000       | PASS_THROUGH   
Junction_2818        | 0.0000       | PASS_THROUGH   
Junction_2839        | 0.0000       | PASS_THROUGH   
Junction_3432        | 0.0000       | PASS_THROUGH   
Junction_3433        | 0.0000       | PASS_THROUGH   
Junction_3434        | 0.0000       | PASS_THROUGH   
Junction_3435        | 0.0000       | PASS_THROUGH   
Junction_3436        | 0.0000       | PASS_THROUGH   
Junction_3437        | 0.0000       | PASS_THROUGH   
Junction_3438        | 0.0000       | PASS_THROUGH   
Junction_3439        | 0.0000       | PASS_THROUGH   
Junction_3440        | 0.0000       | PASS_THROUGH   
Junction_3441        | 0.0000       | PASS_THROUGH   
Junction_3442        | 0.0000       | PASS_THROUGH   
Junction_3443        | 0.0000       | PASS_THROUGH   
Junction_3444        | 0.0000       | PASS_THROUGH   
Junction_3445        | 0.0000       | PASS_THROUGH   
Junction_3446        | 0.0000       | PASS_THROUGH   
